Type,Title,Role,Owner,Duration_Min,Duration_Max,Hidden
Section,OPENING,,,0,
Generic,SAA Introduction,SAA,,0,1
Generic,President's Address,President,,0,2
Toastmaster Session,Toastmaster's Address,Toastmaster,,0,2
Ah-Counter Session,Ah-Counter Introduction,Ah-Counter,,0,1
Grammarian Session,Grammarian Introduction,Grammarian,,0,2
Timer Session,Timer Introduction,Timer,,0,1
Section,FEATURED SESSION,,,0,
Keynote Speech,Keynote Speech,Keynote Speaker,,0,23
Table Topics,,Topicsmaster,,0,25
Generic,How to Become a Member,VPM,,1,3
Guest Talk,New Guest Greetings,Welcome Officer,,0,5
Networking,Networking & Break,,,0,10
Section,PREPARED SPEECHES,,,0,
Prepared Speech,Prepared Speech 1,Prepared Speaker,,,
Prepared Speech,Prepared Speech 2,Prepared Speaker,,,
Prepared Speech,Prepared Speech 3,Prepared Speaker,,,
Section,EVALUATION REPORTS,,,0,
General Evaluator Session,,General Evaluator,,0,1
Evaluation,Speaker 1,Individual Evaluator,,2,3
Evaluation,Speaker 2,Individual Evaluator,,2,3
Evaluation,Speaker 3,Individual Evaluator,,2,3
Ah-Counter Session,Ah-Counter Report,Ah-Counter,,0,1
Grammarian Session,Grammarian Report,Grammarian,,0,2
Timer Session,Timer Report,Timer,,0,1
General Evaluator Session,General Evaluator Report,General Evaluator,,0,5
Section,AWARDS & CLOSING,,,0,
Toastmaster Session,Voting and Announcements,Toastmaster,,0,3
President's Address,Awards / Meeting Closing,President,,0,2
Section,MORE MEETGING ROLES,,,0,
Photography,Photographer,Photographer,,0,
Topics Speech,Topics Speech,Topics Speaker,,,0,true
Topics Speech,Topics Speech,Topics Speaker,,,0,true
Topics Speech,Topics Speech,Topics Speaker,,,0,true
Topics Speech,Topics Speech,Topics Speaker,,,0,true
